distance_km,architecture,protocol,alpha,photon_path_km,eta,link_success_probability,end_to_end_fidelity,expected_attempts_analytic,expected_attempts_simulated,expected_seconds_analytic,expected_seconds_simulated
140.0,one-repeater,Single-click,0.2,35.0,0.2037403090557072,0.07983571908091827,0.6533333333333334,18.528188183613544,18.39485,1.8528188183613545e-05,1.8394850000000002e-05
150.0,direct,Barrett-Kok,,75.0,0.03307125148830102,0.0005468538375012263,1.0,1828.6421917954588,1820.16395,0.0018286421917954588,0.0018201639500000002
150.0,one-repeater,Barrett-Kok,,37.5,0.18185502876824997,0.01653562574415051,1.0,90.46114452560978,90.6094,9.046114452560978e-05,9.06094e-05
150.0,direct,Single-click,0.05,75.0,0.03307125148830102,0.003304390879642596,0.95,302.62763590128304,303.4205,0.00030262763590128305,0.0003034205
150.0,one-repeater,Single-click,0.05,37.5,0.18185502876824997,0.018102824748104245,0.9033333333333332,82.60771323919937,81.67985,8.260771323919937e-05,8.167985000000001e-05
150.0,direct,Single-click,0.1,75.0,0.03307125148830102,0.0066033132209101794,0.9,151.43912859280712,151.72195,0.00015143912859280712,0.00015172195
150.0,one-repeater,Single-click,0.1,37.5,0.18185502876824997,0.036040293238766986,0.8133333333333334,41.36549540477873,41.35125,4.1365495404778724e-05,4.135125e-05
150.0,direct,Single-click,0.2,75.0,0.03307125148830102,0.01318475228832031,0.8,75.84518678336099,75.91575,7.584518678336098e-05,7.591575e-05
150.0,one-repeater,Single-click,0.2,37.5,0.18185502876824997,0.07141916144776794,0.6533333333333334,20.743508904591867,20.8014,2.0743508904591866e-05,2.08014e-05
160.0,direct,Barrett-Kok,,80.0,0.026347980814448734,0.0003471080464992793,1.0,2880.947330623395,2865.25635,0.002880947330623395,0.00286525635
160.0,one-repeater,Barrett-Kok,,40.0,0.16232061118184818,0.013173990407224369,1.0,113.60905982420265,112.79035,0.00011360905982420264,0.00011279035
160.0,direct,Single-click,0.05,80.0,0.026347980814448734,0.0026330625412123772,0.95,379.7858897569354,375.53875,0.0003797858897569354,0.00037553875
160.0,one-repeater,Single-click,0.05,40.0,0.16232061118184818,0.016166191166148695,0.9033333333333332,92.53419697965865,92.88045,9.253419697965865e-05,9.288045e-05
160.0,direct,Single-click,0.1,80.0,0.026347980814448734,0.005262654001959762,0.9,190.01819227097386,189.77175,0.00019001819227097385,0.00018977175
160.0,one-repeater,Single-click,0.1,40.0,0.16232061118184818,0.03220064242822515,0.8133333333333334,46.32883060124709,46.14865,4.632883060124709e-05,4.6148650000000004e-05
160.0,direct,Single-click,0.2,80.0,0.026347980814448734,0.010511423682059552,0.8,95.1345916830236,94.32075,9.51345916830236e-05,9.432075e-05
160.0,one-repeater,Single-click,0.2,40.0,0.16232061118184818,0.06387432524016133,0.6533333333333334,23.225366325508766,23.04105,2.3225366325508765e-05,2.304105e-05
170.0,direct,Barrett-Kok,,85.0,0.020991527739557658,0.00022032211842030932,1.0,4538.808936524005,4563.26275,0.004538808936524005,0.00456326275
170.0,one-repeater,Barrett-Kok,,42.5,0.14488453243724003,0.010495763869778829,1.0,142.66348165152112,143.55255,0.00014266348165152112,0.00014355255
170.0,direct,Single-click,0.05,85.0,0.020991527739557658,0.0020980511633636643,0.95,476.6327997439144,478.961,0.00047663279974391443,0.000478961
170.0,one-repeater,Single-click,0.05,42.5,0.14488453243724003,0.01443597442437511,0.9033333333333332,103.65526588938673,103.1825,0.00010365526588938673,0.00010318250000000001
170.0,direct,Single-click,0.1,85.0,0.020991527739557658,0.0041938991055431255,0.9,238.44159690877834,240.37455,0.00023844159690877834,0.00024037455
170.0,one-repeater,Single-click,0.1,42.5,0.14488453243724003,0.028766991210052432,0.8133333333333334,51.88944819594509,52.051,5.188944819594509e-05,5.2051e-05
